"artisan_nom","artisan_email","artisan_site","artisan_apropos","artisan_note","artisan_top","artisan_image","specialite_libelle","ville_nom"
"Boucherie Dumont","boucherie.dumond@gmail.com","","La boucherie Dumont vous propose chaque jour des viandes de qualité, rigoureusement sélectionnées auprès d’éleveurs locaux. Artisan boucher passionné, nous privilégions le goût, la fraîcheur et le respect des traditions.","4.5","0","https://images.pexels.com/photos/7613436/pexels-photo-7613436.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Boucher","Lyon"
"Au pain chaud","aupainchaud@hotmail.com","","Au Pain Chaud vous accueille chaque jour avec des pains et viennoiseries façonnés à la main et cuits sur place. Entre tradition et gourmandise, notre boulangerie met à l’honneur le bon goût de l’artisanat.","4.8","1","https://images.pexels.com/photos/7175448/pexels-photo-7175448.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Boulanger","Montélimar"
"Chocolaterie Labbé","chocolaterie-labbe@gmail.com","https://chocolaterie-labbe.fr","Une chocolaterie artisanale où passion et savoir-faire se mêlent pour créer des douceurs d’exception. Les chocolats, confectionnés avec des ingrédients soigneusement sélectionnés, ravissent les papilles des amateurs de saveurs authentiques.","4.9","1","https://images.pexels.com/photos/15229830/pexels-photo-15229830/free-photo-of-sur-la-foret-gateau.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Chocolatier","Lyon"
"Traiteur Truchon","contact@truchon-traiteur.fr","https://truchon-traiteur.fr","Truchon est un traiteur artisanal qui transforme chaque événement en moment gourmand et raffiné. De l’apéritif au dessert, nous élaborons des menus sur mesure avec des produits frais et de saison.","4.1","0","https://images.pexels.com/photos/31970835/pexels-photo-31970835.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Traiteur","Lyon"
"Orville Salmons","o-salmons@live.com","","Votre expert chauffagiste, vous accompagne pour l’installation, l’entretien et le dépannage de vos systèmes de chauffage. Fiabilité, efficacité et confort thermique sont au cœur de notre engagement pour votre bien-être.","5.0","1","https://images.pexels.com/photos/7859953/pexels-photo-7859953.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Chauffagiste","Evian"
"Mont Blanc Eléctricité","contact@mont-blanc-electricite.com","https://mont-blanc-electricite.com","Mont Blanc Electricité met son expertise au service de vos projets électriques, qu’il s’agisse d’installations neuves, de rénovations ou de dépannages. Réactifs et professionnels, nous assurons des interventions sécurisées et conformes aux normes.","4.5","0","https://images.pexels.com/photos/257736/pexels-photo-257736.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Electricien","Chamonix"
"Boutot & fils","boutot-menuiserie@gmail.com","https://boutot-menuiserie.com","Boutot & fils donne vie à vos projets sur mesure grâce à un savoir-faire artisanal en menuiserie intérieure et extérieure. Chaque pièce est conçue avec soin, alliant esthétisme, robustesse et finitions de qualité.","4.7","0","https://images.pexels.com/photos/5089178/pexels-photo-5089178.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Menuisier","Bourg-en-bresse"
"Vallis Bellemare","v.bellemare@gmail.com","https://plomberie-bellemare.com","Vallis Bellemare intervient rapidement pour tous vos besoins en plomberie, qu’il s’agisse d’installations, de réparations ou d’urgences. Fiables et expérimentés, nous assurons des prestations efficaces avec un souci constant du détail.","4.0","0","https://images.pexels.com/photos/6419128/pexels-photo-6419128.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Plombier","Vienne"
"Claude Quinn","claude.quinn@gmail.com","","Claude Quinn crée des bijoux uniques mêlant élégance, raffinement et savoir-faire traditionnel. Que ce soit pour un cadeau précieux ou une création sur mesure, chaque pièce raconte une histoire singulière et intemporelle.","4.2","0","https://images.pexels.com/photos/6263056/pexels-photo-6263056.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Bijoutier","Aix-les-bains"
"Amitee Lécuyer","a.amitee@hotmail.com","https://lecuyer-couture.com","Amitee Lécuyer vous propose des retouches soignées, des créations sur mesure et des conseils personnalisés pour sublimer chaque tenue. Avec passion et précision, notre couturière donne vie à vos envies textiles, du quotidien aux grandes occasions.","4.5","0","https://images.pexels.com/photos/4622417/pexels-photo-4622417.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Couturier","Annecy"
"Ernest Carignan","e-carigan@hotmail.com","","Ernest Carignan façonne le métal avec art pour réaliser des ouvrages uniques, alliant robustesse et élégance. Portails, rampes, grilles ou mobilier : chaque création de notre ferronnier est pensée pour sublimer vos espaces, intérieurs comme extérieurs.","5.0","0","https://images.pexels.com/photos/3680094/pexels-photo-3680094.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Ferronier","Le Puy-en-Velay"
"Royden Charbonneau","r.charbonneau@gmail.com","","Dans un cadre moderne et chaleureux, Royden Charbonneau sublime toutes les textures et longueurs avec créativité et précision. Notre équipe passionnée vous accompagne pour révéler votre style à chaque coupe ou coloration.","3.8","0","https://images.pexels.com/photos/3268732/pexels-photo-3268732.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Coiffeur","Saint-Priest"
"Leala Dennis","l.dennos@hotmail.fr","https://coiffure-leala-chambery.fr","Chez Leala Dennis, chaque coiffure est pensée comme une mise en beauté personnalisée, en harmonie avec votre visage et votre personnalité. Techniques maîtrisées et accueil attentionné font de chaque passage un vrai moment de bien-être.","3.8","0","https://images.pexels.com/photos/3993449/pexels-photo-3993449.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Coiffeur","Chambéry"
"C'est sup'hair","sup-hair@gmail.com","https://sup-hair.fr","Spécialiste des coupes tendances et du soin de la barbe, C'est Sup'Hair offre un service de coiffure masculin alliant tradition et style urbain. Convivialité, précision et conseils sur mesure vous attendent dans notre salon.","4.1","0","https://images.pexels.com/photos/897271/pexels-photo-897271.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Coiffeur","Romans-sur-Isère"
"Le monde des fleurs","contact@le-monde-des-fleurs-annonay.fr","https://le-monde-des-fleurs-annonay.fr","Le Monde des Fleurs sublime vos moments de vie avec des créations florales sur mesure, alliant fraîcheur et originalité. Que ce soit pour un mariage, un événement ou simplement pour le plaisir, nos bouquets et compositions sont conçus avec soin et élégance.","4.6","0","https://images.pexels.com/photos/3171033/pexels-photo-3171033.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Fleuriste","Annonay"
"Valérie Laderoute","v-laredoute@gmail.com","","Valérie Laderoute prend soin de votre compagnon avec des services de toilettage professionnels adaptés à chaque race et besoin. Du bain à la coupe, notre équipe garantit confort, douceur et bien-être pour votre animal, tout en veillant à sa santé et à son hygiène.","4.5","0","https://images.pexels.com/photos/12283472/pexels-photo-12283472.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Toiletteur","Valence"
"CM Graphisme","contact@cm-graphisme.com","https://cm-graphisme.com","CM Graphisme transforme vos idées en expériences digitales uniques grâce à un design moderne et fonctionnel. Spécialistes en création de sites web sur mesure, nous allions esthétisme, ergonomie et performance pour offrir à vos projets une présence en ligne remarquable.","4.4","0","https://images.pexels.com/photos/1779487/pexels-photo-1779487.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1","Webdesign","Valence"
